,ts,ms_played,master_metadata_track_name,master_metadata_album_artist_name,master_metadata_album_album_name,episode_name,episode_show_name,reason_start,reason_end
0,2021-06-19T18:38:41Z,228784,pra você guardei o amor,ANAVITÓRIA,N,,,playbtn,trackdone
1,2021-06-19T19:10:31Z,198835,Apê,Melim,Melim,,,trackdone,trackdone
2,2021-06-19T19:13:16Z,164257,Mapa Astral,João Guilherme,Mapa Astral,,,trackdone,trackdone
3,2021-06-19T19:16:57Z,220566,"Ai, Amor",ANAVITÓRIA,O Tempo É Agora,,,trackdone,trackdone
4,2021-06-19T19:20:14Z,166512,Peça Felicidade,Melim,Melim,,,trackdone,trackdone
5,2021-06-19T19:23:52Z,216829,Porque Eu Te Amo,ANAVITÓRIA,O Tempo É Agora,,,trackdone,trackdone
6,2021-06-19T19:27:55Z,243179,Quando a Chuva Passar,PEU,Peu Canta Ivete,,,trackdone,trackdone
7,2021-06-19T19:31:06Z,190411,Era Pra Ser Outra Canção Feliz,Melim,Melim,,,trackdone,trackdone
8,2021-06-19T19:34:51Z,194106,O Que Dizer de Você,OUTROEU,OutroEu,,,trackdone,trackdone
9,2021-06-19T19:38:17Z,205467,Trevo (Tu),ANAVITÓRIA,ANAVITÓRIA,,,trackdone,trackdone
10,2021-06-19T19:41:40Z,201883,Só pra Te Mostrar,Rubel,Só pra Te Mostrar,,,trackdone,trackdone
11,2021-06-19T19:44:47Z,187212,Confusão,Melim,Melim,,,trackdone,trackdone
12,2021-06-19T19:49:15Z,206250,Brisa,Silva,Brisa,,,trackdone,trackdone
13,2021-06-19T19:54:00Z,284706,Desconstrução - Ao Vivo,TIAGO IORC,Acústico MTV Tiago Iorc,,,trackdone,trackdone
14,2021-06-19T19:57:22Z,201369,Transmissão De Pensamento,Melim,Melim,,,trackdone,trackdone
15,2021-06-19T20:01:16Z,202287,Pupila,ANAVITÓRIA,Pupila,,,trackdone,trackdone
16,2021-06-19T20:04:13Z,176556,Louquinho,Jão,Louquinho,,,trackdone,trackdone
17,2021-06-19T20:06:55Z,162087,Uma Lua - Ao Vivo,Melim,Melim Ao Vivo,,,trackdone,trackdone
18,2021-06-19T20:11:01Z,245538,relicário,ANAVITÓRIA,N,,,trackdone,trackdone
19,2021-06-19T20:15:51Z,289346,Pra Sempre Será,O Terno,<atrás/além>,,,trackdone,trackdone
20,2021-06-19T20:48:53Z,230644,Agora Eu Quero Ir,ANAVITÓRIA,ANAVITÓRIA,,,trackdone,trackdone
